classification,.geo
22,"{""type"":""Point"",""coordinates"":[-98.89767947826826,46.32124994644541]}"
22,"{""type"":""Point"",""coordinates"":[-101.59741187424987,46.66450708669687]}"
22,"{""type"":""Point"",""coordinates"":[-99.18355389141948,47.26038267796996]}"
22,"{""type"":""Point"",""coordinates"":[-99.99005651931999,46.36538418403968]}"
22,"{""type"":""Point"",""coordinates"":[-99.81339744008466,47.141128797292545]}"
22,"{""type"":""Point"",""coordinates"":[-98.74511280425811,46.6158990664658]}"
22,"{""type"":""Point"",""coordinates"":[-98.0140413030614,46.496544764112535]}"
22,"{""type"":""Point"",""coordinates"":[-101.8477787193576,46.74075595978126]}"
22,"{""type"":""Point"",""coordinates"":[-98.81871697201225,47.10360400732453]}"
22,"{""type"":""Point"",""coordinates"":[-100.09979200486427,47.63741049202019]}"
22,"{""type"":""Point"",""coordinates"":[-101.57501685077614,47.05723470995855]}"
22,"{""type"":""Point"",""coordinates"":[-99.08893766936103,46.07590745875878]}"
22,"{""type"":""Point"",""coordinates"":[-101.32187768375098,46.65830479977676]}"
22,"{""type"":""Point"",""coordinates"":[-98.77930882496655,46.6422846270464]}"
22,"{""type"":""Point"",""coordinates"":[-100.65713971619596,47.19467517121261]}"
22,"{""type"":""Point"",""coordinates"":[-99.24968259645857,47.120645578656664]}"
22,"{""type"":""Point"",""coordinates"":[-100.98426102257713,46.77394856108391]}"
22,"{""type"":""Point"",""coordinates"":[-98.79443404905379,46.60097428709446]}"
22,"{""type"":""Point"",""coordinates"":[-98.55699664386968,46.50558395828106]}"
22,"{""type"":""Point"",""coordinates"":[-103.09466992472021,47.11990896803617]}"
22,"{""type"":""Point"",""coordinates"":[-101.2814189524142,46.622471494435196]}"
22,"{""type"":""Point"",""coordinates"":[-98.51100320959681,46.81138380470576]}"
22,"{""type"":""Point"",""coordinates"":[-101.39078082366032,46.33082275543335]}"
22,"{""type"":""Point"",""coordinates"":[-99.29992350498186,47.07332340104092]}"
22,"{""type"":""Point"",""coordinates"":[-102.00569439620135,46.83544801743829]}"
22,"{""type"":""Point"",""coordinates"":[-99.45379500397358,47.10590893525612]}"
22,"{""type"":""Point"",""coordinates"":[-102.71199759139985,47.12180013960713]}"
22,"{""type"":""Point"",""coordinates"":[-99.20679756350133,46.3127051255222]}"
22,"{""type"":""Point"",""coordinates"":[-99.47512421107913,47.484569532467255]}"
22,"{""type"":""Point"",""coordinates"":[-101.3430230057559,47.365801489932075]}"
22,"{""type"":""Point"",""coordinates"":[-99.58076846382843,46.36136175649916]}"
22,"{""type"":""Point"",""coordinates"":[-101.72566507885995,47.166215015511604]}"
22,"{""type"":""Point"",""coordinates"":[-99.12325783515364,46.75937837543614]}"
22,"{""type"":""Point"",""coordinates"":[-98.92834746366398,46.775748292507394]}"
22,"{""type"":""Point"",""coordinates"":[-101.65227931916658,47.313435735497386]}"
22,"{""type"":""Point"",""coordinates"":[-103.4010445846323,44.08581318369246]}"
22,"{""type"":""Point"",""coordinates"":[-98.60484659843245,46.82498878841468]}"
22,"{""type"":""Point"",""coordinates"":[-101.37426388813121,47.714505751591666]}"
22,"{""type"":""Point"",""coordinates"":[-100.7742633646823,47.257959441393304]}"
22,"{""type"":""Point"",""coordinates"":[-101.26349095856035,47.78848609402788]}"
22,"{""type"":""Point"",""coordinates"":[-102.4618632989261,46.686915868189075]}"
22,"{""type"":""Point"",""coordinates"":[-98.92152770902135,46.33936610694918]}"
22,"{""type"":""Point"",""coordinates"":[-99.74754906809059,46.16421745773124]}"
22,"{""type"":""Point"",""coordinates"":[-102.31532789293524,47.061608214352155]}"
22,"{""type"":""Point"",""coordinates"":[-101.0902025275673,47.727444993596244]}"
22,"{""type"":""Point"",""coordinates"":[-102.42806009552636,46.82733864146721]}"
22,"{""type"":""Point"",""coordinates"":[-99.5523184812647,46.169307713208575]}"
22,"{""type"":""Point"",""coordinates"":[-99.96244890741845,46.95696539469937]}"
22,"{""type"":""Point"",""coordinates"":[-101.97245977422014,46.37697947539563]}"
22,"{""type"":""Point"",""coordinates"":[-101.96358497039776,46.8490780607463]}"
