classification,.geo
20,"{""type"":""Point"",""coordinates"":[-85.16391372105701,71.66467226283056]}"
20,"{""type"":""Point"",""coordinates"":[-85.30661347136252,71.68574995019812]}"
20,"{""type"":""Point"",""coordinates"":[-85.23187519203657,71.68487086688121]}"
20,"{""type"":""Point"",""coordinates"":[125.30753859710751,68.76299070693423]}"
20,"{""type"":""Point"",""coordinates"":[124.7927472028638,63.61177218967546]}"
20,"{""type"":""Point"",""coordinates"":[126.40817652551205,70.08538945010206]}"
20,"{""type"":""Point"",""coordinates"":[153.2057148395946,65.30555991514424]}"
20,"{""type"":""Point"",""coordinates"":[123.78690027765983,67.09865845721207]}"
20,"{""type"":""Point"",""coordinates"":[122.70307101831585,68.60976482960744]}"
20,"{""type"":""Point"",""coordinates"":[123.05808869167471,66.85110475911763]}"
20,"{""type"":""Point"",""coordinates"":[122.57260658163824,68.37788333241525]}"
20,"{""type"":""Point"",""coordinates"":[125.53080458516028,69.50255223329938]}"
20,"{""type"":""Point"",""coordinates"":[124.79441637313352,66.90286454363473]}"
20,"{""type"":""Point"",""coordinates"":[124.48200999441126,68.09192513959684]}"
20,"{""type"":""Point"",""coordinates"":[122.89886093186033,67.84375714558645]}"
20,"{""type"":""Point"",""coordinates"":[125.61555638652516,69.40884874856646]}"
20,"{""type"":""Point"",""coordinates"":[123.39627976095758,68.67262204804766]}"
20,"{""type"":""Point"",""coordinates"":[124.66733160354774,67.79898079462566]}"
20,"{""type"":""Point"",""coordinates"":[123.05174673926581,67.97315393368666]}"
20,"{""type"":""Point"",""coordinates"":[122.53028342467772,68.84293525108171]}"
20,"{""type"":""Point"",""coordinates"":[126.77702093435168,70.56021483287427]}"
20,"{""type"":""Point"",""coordinates"":[124.80942320114225,63.33268490261297]}"
20,"{""type"":""Point"",""coordinates"":[124.30671245232364,67.22079196469227]}"
20,"{""type"":""Point"",""coordinates"":[125.67231932389258,64.73802781783056]}"
20,"{""type"":""Point"",""coordinates"":[123.06694487273779,69.23488439268519]}"
20,"{""type"":""Point"",""coordinates"":[124.0298435439477,67.7293544184035]}"
20,"{""type"":""Point"",""coordinates"":[122.25886791085351,68.95432813910956]}"
20,"{""type"":""Point"",""coordinates"":[123.08281525467542,66.62076213980441]}"
20,"{""type"":""Point"",""coordinates"":[121.43624926765445,68.34338608209278]}"
20,"{""type"":""Point"",""coordinates"":[125.22543759870067,68.41038067143451]}"
20,"{""type"":""Point"",""coordinates"":[124.22008784370739,66.87488126308017]}"
20,"{""type"":""Point"",""coordinates"":[126.28803681607081,64.04346890824438]}"
20,"{""type"":""Point"",""coordinates"":[125.38126309312712,66.0115127716804]}"
20,"{""type"":""Point"",""coordinates"":[123.14917768149,67.15464073223228]}"
20,"{""type"":""Point"",""coordinates"":[125.84341865665392,63.760984171283596]}"
20,"{""type"":""Point"",""coordinates"":[125.54922437045309,62.76403073887282]}"
20,"{""type"":""Point"",""coordinates"":[125.96900860190895,62.513338309054674]}"
20,"{""type"":""Point"",""coordinates"":[123.1851081312997,69.3153862598263]}"
20,"{""type"":""Point"",""coordinates"":[125.0884727326411,63.97037923199107]}"
20,"{""type"":""Point"",""coordinates"":[123.55978024126257,66.85266651166077]}"
20,"{""type"":""Point"",""coordinates"":[124.64498573298134,68.91918524407308]}"
20,"{""type"":""Point"",""coordinates"":[124.1679030162669,67.86550641930216]}"
20,"{""type"":""Point"",""coordinates"":[124.6566064060975,67.23383666559529]}"
20,"{""type"":""Point"",""coordinates"":[125.76256852633416,64.77478544602826]}"
20,"{""type"":""Point"",""coordinates"":[126.67320381984929,62.2604934858886]}"
20,"{""type"":""Point"",""coordinates"":[125.80400506257736,67.90753668547194]}"
20,"{""type"":""Point"",""coordinates"":[124.13548536073633,68.26694651878732]}"
20,"{""type"":""Point"",""coordinates"":[125.50911580405806,65.97831569064246]}"
20,"{""type"":""Point"",""coordinates"":[121.16058045092426,69.5755941071072]}"
20,"{""type"":""Point"",""coordinates"":[124.5953191221751,68.1333569070006]}"
20,"{""type"":""Point"",""coordinates"":[124.79887322407885,68.31661093712546]}"
20,"{""type"":""Point"",""coordinates"":[125.56586351742071,63.99393540429687]}"
20,"{""type"":""Point"",""coordinates"":[122.54161250490773,66.61398524518584]}"
20,"{""type"":""Point"",""coordinates"":[123.70766010224186,67.44654428023915]}"
20,"{""type"":""Point"",""coordinates"":[123.80397492066781,67.89186270111365]}"
