classification,.geo
18,"{""type"":""Point"",""coordinates"":[-121.49112352808434,44.39184478343704]}"
18,"{""type"":""Point"",""coordinates"":[-120.61007871142202,47.514607065165045]}"
18,"{""type"":""Point"",""coordinates"":[-118.4319545334953,45.48916320310207]}"
18,"{""type"":""Point"",""coordinates"":[-120.58707439988612,44.51627038433656]}"
18,"{""type"":""Point"",""coordinates"":[-121.81910143761093,43.082049316661795]}"
18,"{""type"":""Point"",""coordinates"":[-115.79518905157667,48.13028406166398]}"
18,"{""type"":""Point"",""coordinates"":[-118.26842135393687,48.520768294252925]}"
18,"{""type"":""Point"",""coordinates"":[-118.83913118842607,44.087496504649046]}"
18,"{""type"":""Point"",""coordinates"":[-118.32383704058816,42.03412534033485]}"
18,"{""type"":""Point"",""coordinates"":[-121.64850903347234,42.82804568833056]}"
18,"{""type"":""Point"",""coordinates"":[-121.98009057343062,44.50592377514522]}"
18,"{""type"":""Point"",""coordinates"":[-116.61812680354642,46.74840571170461]}"
18,"{""type"":""Point"",""coordinates"":[-117.28936751081774,48.44108326695621]}"
18,"{""type"":""Point"",""coordinates"":[-115.34137508782985,45.77206980508763]}"
18,"{""type"":""Point"",""coordinates"":[-120.64407160835856,46.513637834323475]}"
18,"{""type"":""Point"",""coordinates"":[-121.13866817040427,40.791525905799084]}"
18,"{""type"":""Point"",""coordinates"":[-116.53643994836433,47.0554814946061]}"
18,"{""type"":""Point"",""coordinates"":[-120.89640992798198,42.119287089550404]}"
18,"{""type"":""Point"",""coordinates"":[-118.68487565932233,44.92654425206537]}"
18,"{""type"":""Point"",""coordinates"":[-109.27471358874897,33.835945256836055]}"
18,"{""type"":""Point"",""coordinates"":[-121.96954466996164,44.987336542258475]}"
18,"{""type"":""Point"",""coordinates"":[-120.23566902763902,39.93014246493329]}"
18,"{""type"":""Point"",""coordinates"":[-119.22572197698337,44.17719401022975]}"
18,"{""type"":""Point"",""coordinates"":[-119.15865126150912,44.54600938548588]}"
18,"{""type"":""Point"",""coordinates"":[-121.460558287464,43.101246384788006]}"
18,"{""type"":""Point"",""coordinates"":[-118.7714048137199,45.28825875804619]}"
18,"{""type"":""Point"",""coordinates"":[-120.658776756243,48.2482934303596]}"
18,"{""type"":""Point"",""coordinates"":[-120.37187918149056,39.862999845944394]}"
18,"{""type"":""Point"",""coordinates"":[-121.46339463261423,46.018219666654]}"
18,"{""type"":""Point"",""coordinates"":[-115.87892647623991,47.323948548214915]}"
18,"{""type"":""Point"",""coordinates"":[-121.2522773591311,43.11953640406212]}"
18,"{""type"":""Point"",""coordinates"":[-120.84634724941795,40.29420006371614]}"
18,"{""type"":""Point"",""coordinates"":[-121.72895149048713,43.8498583969896]}"
18,"{""type"":""Point"",""coordinates"":[-116.93926991019454,48.788687890397945]}"
18,"{""type"":""Point"",""coordinates"":[-121.39960028518149,49.96594782641231]}"
18,"{""type"":""Point"",""coordinates"":[-116.00332641125287,47.57618329744681]}"
18,"{""type"":""Point"",""coordinates"":[-111.86130880319185,41.386905011825334]}"
18,"{""type"":""Point"",""coordinates"":[-120.42554991772674,39.88493898886275]}"
18,"{""type"":""Point"",""coordinates"":[-109.36811743556454,33.71677321330122]}"
18,"{""type"":""Point"",""coordinates"":[-121.48279355832317,41.61112703096371]}"
18,"{""type"":""Point"",""coordinates"":[-120.7035830938738,45.47422951370276]}"
18,"{""type"":""Point"",""coordinates"":[-111.2400634304541,34.450516805739014]}"
18,"{""type"":""Point"",""coordinates"":[-121.10058826715708,46.295775375830864]}"
18,"{""type"":""Point"",""coordinates"":[-120.62742495244007,41.94476193335765]}"
18,"{""type"":""Point"",""coordinates"":[-120.44491526536936,45.99836225900724]}"
18,"{""type"":""Point"",""coordinates"":[-116.66755161255749,43.12039033035136]}"
18,"{""type"":""Point"",""coordinates"":[-121.04971877064307,46.6637457332705]}"
18,"{""type"":""Point"",""coordinates"":[-118.38589711782095,44.522518902472164]}"
18,"{""type"":""Point"",""coordinates"":[-116.31748282779077,44.64930472302731]}"
18,"{""type"":""Point"",""coordinates"":[-120.33840353577773,48.525551848762476]}"
18,"{""type"":""Point"",""coordinates"":[-119.84018719728952,39.605147532122274]}"
18,"{""type"":""Point"",""coordinates"":[-121.98240343586426,42.65349249294244]}"
18,"{""type"":""Point"",""coordinates"":[-116.32603203333768,48.13421056592525]}"
18,"{""type"":""Point"",""coordinates"":[-112.9803644627474,37.62775186439602]}"
18,"{""type"":""Point"",""coordinates"":[-119.18152382528825,37.56529627996013]}"
18,"{""type"":""Point"",""coordinates"":[-119.98526289364476,39.39714986740793]}"
18,"{""type"":""Point"",""coordinates"":[-118.92775403300973,44.817537050885726]}"
18,"{""type"":""Point"",""coordinates"":[-116.69036825774589,47.73566522277342]}"
18,"{""type"":""Point"",""coordinates"":[-116.8941018304323,47.85705497714155]}"
18,"{""type"":""Point"",""coordinates"":[-121.01038796761479,40.80502777418468]}"
18,"{""type"":""Point"",""coordinates"":[-118.8458429122427,45.32713248398023]}"
18,"{""type"":""Point"",""coordinates"":[-117.16770068006932,47.196468740610854]}"
18,"{""type"":""Point"",""coordinates"":[-116.32165473372207,47.71338593659702]}"
18,"{""type"":""Point"",""coordinates"":[-117.52990279095778,48.681394845605055]}"
18,"{""type"":""Point"",""coordinates"":[-118.70116221432258,44.99456841767409]}"
18,"{""type"":""Point"",""coordinates"":[-119.67727217437934,38.7118354292762]}"
18,"{""type"":""Point"",""coordinates"":[-112.27620263663036,36.37702680345094]}"
18,"{""type"":""Point"",""coordinates"":[-120.25328091306753,39.55225795531379]}"
18,"{""type"":""Point"",""coordinates"":[-121.38564948555569,47.494196287415896]}"
18,"{""type"":""Point"",""coordinates"":[-118.95592500531565,44.92074913493283]}"
18,"{""type"":""Point"",""coordinates"":[-116.68128782000099,44.66793016703389]}"
18,"{""type"":""Point"",""coordinates"":[-116.97515835397805,48.56412283501019]}"
18,"{""type"":""Point"",""coordinates"":[-117.60000128959135,48.422568674328986]}"
18,"{""type"":""Point"",""coordinates"":[-118.65308912800539,45.29325996135379]}"
18,"{""type"":""Point"",""coordinates"":[-121.54809568459615,44.76514960217814]}"
18,"{""type"":""Point"",""coordinates"":[-119.42443320109314,45.22162289989089]}"
18,"{""type"":""Point"",""coordinates"":[-122.15037387505923,41.84113865381149]}"
18,"{""type"":""Point"",""coordinates"":[-118.92791646053534,37.051057199959395]}"
18,"{""type"":""Point"",""coordinates"":[-117.92181414606893,46.18550546984814]}"
18,"{""type"":""Point"",""coordinates"":[-120.06039484668452,48.630567495551276]}"
