classification,latitude,longitude
7,38.256618023528695,57.12179138576901
19,65.73013959757054,-108.49092576377647
20,68.35831251269963,122.57334935182669
5,39.310184012401145,103.83647622248708
5,-25.809719406210494,16.204914791302066
26,53.04340955337353,87.67543156794727
8,38.34675972923403,50.78336236343385
8,36.79419560390776,8.603773115661447
5,46.468296731910684,58.75479768092192
17,31.394610772284473,50.22803551228173
27,67.7410415419878,32.54632266105647
11,-9.85480371959906,35.41842733504748
3,-3.471094886541395,-41.36412610227454
12,24.389193113668348,-105.35253422243194
23,56.329532568866924,125.80020301398454
14,31.228615101579617,-82.78704012279997
16,-48.84720715370571,-74.50066146535079
24,67.56058812956196,131.6467738494753
11,-18.707832313360544,29.28075732778695
18,38.46814301561917,36.60960499056541
14,34.4838569036164,-84.56356689081578
22,47.256422177818116,135.20254959108124
15,-45.06147005394874,168.67097871941255
8,-28.8842675584091,115.38614334611817
16,57.7483294320422,-5.249690159303758
28,67.76375914017358,130.68378824368216
10,-43.054166666666674,-71.2625
2,5.969285936474597,-67.451728650439
27,65.37635539120349,102.51596429740916
8,-34.205221101571894,-70.9236579320242
26,50.785030728828076,30.82568443794571
5,41.33680071590288,80.10902226763542
24,67.15132616922055,133.43954643047533
13,-8.520833333333329,-77.03750000000001
25,42.33790103490111,-91.95299298911127
19,44.67744792345107,-115.63124704352099
23,54.02733428934605,134.4245365830216
14,33.59229521556446,-82.12429294768464
10,-40.10416666666666,-71.40416666666667
3,-17.88745688224567,-60.405504706577666
26,54.59869810867949,40.71170381700039
13,-17.879166666666663,-66.5625
28,66.67208747029777,113.90722338328652
29,73.25927049614516,142.1545405142984
17,33.73715156056722,62.66309064062972
2,3.412286239629897,21.31012756480416
19,59.33845592589194,-133.95415038834952
5,38.16433325035879,102.68460758504445
24,67.32458390346584,131.7693428244115
6,-22.729312342109026,144.69963211694002
23,54.937145346013764,119.78907637316313
1,6.377676028310613,-74.6063509460885
10,-38.45416666666665,-71.4875
19,66.83773621674361,163.68212804384032
6,-17.72022909439928,18.779903178961426
7,41.556100798844575,-116.27355622470543
29,33.270044560635846,92.27881413617122
24,64.55581649248305,142.3036190937483
15,-10.366392865968567,-75.61306186088918
22,50.352754232680454,136.47089105636007
13,-17.0625,-69.1875
9,-38.244380040386474,-72.68167886214924
6,14.132919801894701,39.92974895816616
24,68.38677091144311,135.24796347379691
14,-29.461664930078626,-56.6116461063016
4,-29.45891562585883,-66.88962227523011
28,67.68129106825374,119.56627108146783
30,82.58092374136103,-70.4842824289902
21,44.41016164573373,122.81713595763259
7,41.957596678770834,112.70264546575251
16,61.90930022380582,5.2530749507312775
25,51.80126655258152,49.01706683431477
25,41.227229303457754,141.29910001751279
26,55.75757785064057,49.009320163824825
2,2.4597295375749337,-72.3003281187592
20,67.3287802302676,122.40579363271486
2,18.111077592978965,103.53690355262272
10,7.079166666666666,39.75416666666666
6,2.019830366500346,36.81493125963566
11,-15.167026239640334,23.97089202354841
1,-5.438938107860512,-65.0367749182618
11,-18.883884525445065,-43.1544259611355
15,-38.2322511763022,145.523436051208
27,62.26354354344393,75.1888782681013
2,8.938084763485305,-83.29521437931109
2,-5.952757361026773,-59.297252929258846
11,27.222142276310265,-108.69577317519017
11,-28.558920629902442,27.167889569853187
25,40.916503455542795,45.51125399924428
21,35.23405814761481,128.4148125695803
5,35.16168338626288,79.6562711277063
5,42.15213955853947,98.47464571136024
1,2.143987634640267,102.52544937624168
17,33.48382111785881,49.99539476344946
15,-39.33459624777644,-73.02238350703514
24,61.396432758992034,137.4636269854791
18,38.741496956306726,70.02361943387052
19,-37.76189814830404,-71.03281442726964
19,35.55335080803861,71.39031008513099
6,32.170413700293324,74.67223841259782
12,17.596493472407087,-97.09446677456404
5,37.34929498218082,77.62496814579711
27,59.31141462616128,90.82804703907982
5,-18.8177580175304,-69.9084531705722
28,62.8013685430596,133.04204839613485
6,13.24733944124245,-1.7222323665620975
18,37.854151097524216,-118.96704662678361
7,32.06834613073283,-102.09324393796057
7,46.30682093934987,112.98370776773122
25,49.91009124896929,41.386438403800064
27,63.407503974848964,117.75924143700863
5,42.0577263492018,85.36792888684647
22,43.97568719437923,127.93041371372014
5,-32.66809514848319,136.82463497422629
19,67.60435054765391,126.1987465634883
28,65.98546605071628,122.17420571520783
25,44.697295750614636,26.8616846203705
30,80.98853575014967,-83.15626838588967
5,43.07022937403398,51.65543326145453
11,28.670641645201574,80.7656777679559
16,56.43277902250466,-6.020030248302287
4,-21.10458937778077,125.64129439192729
5,47.231484829734114,65.04161614635356
16,58.464485910892876,-3.8292356875740787
25,42.40070310377126,-95.1144397540243
25,43.381525156371275,-84.3986590071476
25,40.195073396323664,-83.65752154176096
18,39.06400826290063,29.296401235591823
20,67.53808478281441,125.85229479353185
24,64.04216498004807,138.44795523706563
5,-41.0975009114579,-65.34994632312679
13,-16.504166666666663,-68.99583333333334
1,-7.83734793938332,158.92520169914252
9,-36.0598696441862,-71.86310456478064
13,-17.254166666666663,-66.67916666666667
13,13.279166666666669,38.27083333333334
8,-33.44372703184832,-70.77227329453352
9,-32.65987268589372,18.506152165791402
17,42.00269313878272,68.96561889101032
16,-42.578568104850135,172.15462817053395
25,39.17753830645904,-92.76726548768957
13,-14.220833333333331,-73.54583333333333
3,-1.892722988601821,13.06937824731351
27,65.75658186039448,-153.8812235306121
14,34.97169517615313,-95.21156727043544
19,-36.269734876958516,-70.57059968075119
17,32.353446377461076,50.847973274798605
13,-16.762500000000003,-66.44583333333334
21,45.83397559354072,130.45236471988855
16,58.23354738881325,-4.074617505632807
16,57.13572593528029,-3.6968658978549835
29,36.06623832715971,99.19137709715496
25,52.05105541257677,47.921123541791864
12,-22.877526012625598,-65.03129762712663
23,48.67800706293818,110.62247591442274
3,16.50322491324152,81.96943953754392
16,-41.92640968913485,173.74958933148199
30,79.91543268260678,97.89197377872097
9,45.0727117150969,-122.02451967267181
23,50.61688843235748,114.17899140282904
20,67.09393721108593,124.91526373877332
5,-30.486071459692027,-71.05559464623786
19,63.40954371361367,-139.94531333216932
26,43.724991163783834,-82.9890819544111
27,66.82917155054994,48.89639472975555
27,62.85735482166281,15.22136839772567
19,67.26558278633622,149.14108361038856
1,-1.4058956518220858,27.812300249577767
3,18.20520085527489,104.72183423252915
14,31.55754460459664,-86.66434912897772
24,63.601473414424376,141.96346530871594
20,67.71151067602668,125.55066411203187
24,65.26269718655136,139.2845214331927
26,49.98029789103398,27.773107683857454
4,-20.362195952869858,14.160905734551688
9,-35.659481986288284,-71.13200279737711
8,37.401972997971065,36.73398069152488
27,50.422355623027755,83.4779452275278
30,67.03007787937538,-40.95648289746802
11,30.353406403574695,105.69685914811026
3,11.321806508404324,3.957708975601335
21,40.63298496284171,125.77280926398616
2,8.260762137426006,99.6660051317485
26,52.691274890745746,33.987818300007056
20,68.13598574971626,125.50546920683432
16,56.31585234963288,-4.454681093002203
5,39.16362087020708,-118.61770754815686
4,27.395815580783772,64.4721937850516
22,42.77197253763244,127.44621980391277
5,38.71050666708304,83.86860973382893
12,22.282043142795207,-104.2792061067695
26,54.19842448166332,15.80707133317562
14,-22.35541247593923,-48.34678431926459
29,40.79445978326809,-110.56382639679518
11,29.06348901422057,104.53788079569377
1,-0.5922146620830502,-57.45480843383213
6,30.090609968279978,-110.04255443771558
9,44.66035341146589,-122.29388221925035
7,-35.53377237341583,143.22707653736734
14,36.42046260907674,-79.19674200458618
17,37.846640543203556,42.741320415452776
15,1.9556472745843563,-76.65076010777392
28,61.35498943812122,133.8860651916931
