classification,.geo
28,"{""type"":""Point"",""coordinates"":[-84.82908389377732,71.27867225451267]}"
28,"{""type"":""Point"",""coordinates"":[134.15110020874903,61.552230311882]}"
28,"{""type"":""Point"",""coordinates"":[128.63260470528897,61.36360902926123]}"
28,"{""type"":""Point"",""coordinates"":[125.97201692583569,65.69270798516354]}"
28,"{""type"":""Point"",""coordinates"":[130.80040903792013,61.90064226374275]}"
28,"{""type"":""Point"",""coordinates"":[125.74377492314,70.23443010911978]}"
28,"{""type"":""Point"",""coordinates"":[129.24521209689482,66.59351483739168]}"
28,"{""type"":""Point"",""coordinates"":[132.52457863656906,69.22432688915063]}"
28,"{""type"":""Point"",""coordinates"":[134.58716245521873,62.15289807989702]}"
28,"{""type"":""Point"",""coordinates"":[112.42764069841759,65.0278051398957]}"
28,"{""type"":""Point"",""coordinates"":[114.994340280822,65.8220884764851]}"
28,"{""type"":""Point"",""coordinates"":[121.18044700279721,66.04244707661371]}"
28,"{""type"":""Point"",""coordinates"":[111.78845070069407,65.31663417888615]}"
28,"{""type"":""Point"",""coordinates"":[133.4066027057402,60.70293331069375]}"
28,"{""type"":""Point"",""coordinates"":[118.44228872691471,66.89147801086814]}"
28,"{""type"":""Point"",""coordinates"":[134.39394417034896,61.58597733349133]}"
28,"{""type"":""Point"",""coordinates"":[135.27635207119917,69.77742788195249]}"
28,"{""type"":""Point"",""coordinates"":[122.82850668672292,66.12637689996227]}"
28,"{""type"":""Point"",""coordinates"":[116.4665624829103,69.26225848336881]}"
28,"{""type"":""Point"",""coordinates"":[115.6022640358414,69.2339738402002]}"
28,"{""type"":""Point"",""coordinates"":[132.52977332248076,69.95259827223151]}"
28,"{""type"":""Point"",""coordinates"":[121.59771964910428,68.04902056660181]}"
28,"{""type"":""Point"",""coordinates"":[117.7746454613947,69.91847754272321]}"
28,"{""type"":""Point"",""coordinates"":[133.22712007460706,61.31010702908777]}"
28,"{""type"":""Point"",""coordinates"":[130.39177239871944,60.23818131864064]}"
28,"{""type"":""Point"",""coordinates"":[130.37068979728363,61.73371411322261]}"
28,"{""type"":""Point"",""coordinates"":[124.92915651981404,63.564253883763335]}"
28,"{""type"":""Point"",""coordinates"":[118.32062734776203,69.65770709525701]}"
28,"{""type"":""Point"",""coordinates"":[130.52075138621362,67.19880868108137]}"
28,"{""type"":""Point"",""coordinates"":[122.39175813992772,66.04258342005427]}"
28,"{""type"":""Point"",""coordinates"":[135.97053750132122,61.868346744108024]}"
28,"{""type"":""Point"",""coordinates"":[122.76018141699538,65.6689765052363]}"
28,"{""type"":""Point"",""coordinates"":[129.97185385255762,60.605312339930634]}"
28,"{""type"":""Point"",""coordinates"":[134.66840937836113,62.815221067390034]}"
28,"{""type"":""Point"",""coordinates"":[136.2698123658995,69.6988052269647]}"
28,"{""type"":""Point"",""coordinates"":[121.3249460095366,65.21749826932577]}"
28,"{""type"":""Point"",""coordinates"":[143.00207782670986,63.95508257587638]}"
28,"{""type"":""Point"",""coordinates"":[118.18977846696086,66.31824324900231]}"
28,"{""type"":""Point"",""coordinates"":[130.49343232480638,62.192689414290804]}"
28,"{""type"":""Point"",""coordinates"":[140.7988502627589,64.58810916404607]}"
28,"{""type"":""Point"",""coordinates"":[134.09478575133664,60.441875524443226]}"
28,"{""type"":""Point"",""coordinates"":[118.45555641808946,66.03974102915649]}"
28,"{""type"":""Point"",""coordinates"":[118.45877576252485,70.48550995985518]}"
28,"{""type"":""Point"",""coordinates"":[134.23231459887384,69.03086281563404]}"
28,"{""type"":""Point"",""coordinates"":[135.81273024171992,67.02906374953241]}"
28,"{""type"":""Point"",""coordinates"":[119.20281867625299,67.65427715011552]}"
28,"{""type"":""Point"",""coordinates"":[120.21541187561952,68.93191754059636]}"
28,"{""type"":""Point"",""coordinates"":[136.0590905931388,62.27073904721221]}"
28,"{""type"":""Point"",""coordinates"":[126.56940647022795,63.89444485953044]}"
28,"{""type"":""Point"",""coordinates"":[154.71869482178334,65.80465364819479]}"
28,"{""type"":""Point"",""coordinates"":[117.05302282477595,70.51409604467572]}"
28,"{""type"":""Point"",""coordinates"":[132.34801510306426,63.032259413085825]}"
28,"{""type"":""Point"",""coordinates"":[115.07651371760504,68.75167607660029]}"
28,"{""type"":""Point"",""coordinates"":[127.8284714674928,62.48573983057725]}"
28,"{""type"":""Point"",""coordinates"":[130.19658664812982,62.20723223555311]}"
28,"{""type"":""Point"",""coordinates"":[115.52227614654872,68.87025995013886]}"
28,"{""type"":""Point"",""coordinates"":[120.42853196737971,68.4871596402601]}"
28,"{""type"":""Point"",""coordinates"":[132.32139879613624,61.250441082398126]}"
28,"{""type"":""Point"",""coordinates"":[117.22610185637036,67.21624824131347]}"
28,"{""type"":""Point"",""coordinates"":[132.37325695564138,69.36877983649669]}"
28,"{""type"":""Point"",""coordinates"":[119.89697199117876,65.74390402928994]}"
28,"{""type"":""Point"",""coordinates"":[143.07571661755247,63.6736537360809]}"
28,"{""type"":""Point"",""coordinates"":[133.54865925022654,68.94036415580138]}"
28,"{""type"":""Point"",""coordinates"":[126.53114949290217,64.4924079386377]}"
28,"{""type"":""Point"",""coordinates"":[133.2969692832743,61.05683443287423]}"
28,"{""type"":""Point"",""coordinates"":[131.17193288316872,61.679334688400104]}"
28,"{""type"":""Point"",""coordinates"":[120.1272779507776,66.97915756518674]}"
28,"{""type"":""Point"",""coordinates"":[132.88114287902766,60.697394160607764]}"
28,"{""type"":""Point"",""coordinates"":[115.55563536767656,67.84014829686664]}"
28,"{""type"":""Point"",""coordinates"":[152.42888740023884,64.55497330369033]}"
28,"{""type"":""Point"",""coordinates"":[131.10107821203263,62.692994385910936]}"
28,"{""type"":""Point"",""coordinates"":[134.07461817063435,70.53001318237062]}"
28,"{""type"":""Point"",""coordinates"":[136.54329158371542,68.43916981694943]}"
28,"{""type"":""Point"",""coordinates"":[134.85199153494239,61.89561222484947]}"
28,"{""type"":""Point"",""coordinates"":[119.93705526539068,66.50706988634921]}"
28,"{""type"":""Point"",""coordinates"":[136.16268490446797,62.41173115829861]}"
28,"{""type"":""Point"",""coordinates"":[145.3279126017549,63.687817809817034]}"
28,"{""type"":""Point"",""coordinates"":[115.89216901047656,69.76759981963802]}"
28,"{""type"":""Point"",""coordinates"":[117.48313935850473,67.9111924604269]}"
28,"{""type"":""Point"",""coordinates"":[134.85622773024693,60.20380697017141]}"
