classification,.geo
19,"{""type"":""Point"",""coordinates"":[-135.41560267587846,62.34109593069588]}"
19,"{""type"":""Point"",""coordinates"":[-122.86644319952418,67.36025743687641]}"
19,"{""type"":""Point"",""coordinates"":[-124.44005564786605,51.61923263824659]}"
19,"{""type"":""Point"",""coordinates"":[-141.5480263647149,64.7706127048818]}"
19,"{""type"":""Point"",""coordinates"":[-137.29893093070115,60.26439773557316]}"
19,"{""type"":""Point"",""coordinates"":[-129.08634877100786,57.80309427172106]}"
19,"{""type"":""Point"",""coordinates"":[-122.12557302279741,42.38283682074621]}"
19,"{""type"":""Point"",""coordinates"":[-160.75362603756022,67.94738283113455]}"
19,"{""type"":""Point"",""coordinates"":[-126.01786927830156,53.120940939961834]}"
19,"{""type"":""Point"",""coordinates"":[-105.60598991532522,67.56200222185936]}"
19,"{""type"":""Point"",""coordinates"":[-137.17658793121566,66.70793783880315]}"
19,"{""type"":""Point"",""coordinates"":[-137.1323421118931,63.507337982090704]}"
19,"{""type"":""Point"",""coordinates"":[-116.23361215105795,48.90930817076249]}"
19,"{""type"":""Point"",""coordinates"":[-106.0560812047519,67.78135832781622]}"
19,"{""type"":""Point"",""coordinates"":[-124.2121681882391,68.5578583859164]}"
19,"{""type"":""Point"",""coordinates"":[-151.09816608123933,61.22579413547908]}"
19,"{""type"":""Point"",""coordinates"":[-121.95064426559641,43.58147762902652]}"
19,"{""type"":""Point"",""coordinates"":[-151.7022418257607,69.05867431311684]}"
19,"{""type"":""Point"",""coordinates"":[-126.70415579009611,54.8767479243459]}"
19,"{""type"":""Point"",""coordinates"":[-126.24940120423774,58.03870143080838]}"
19,"{""type"":""Point"",""coordinates"":[-161.5316610061495,58.946667627661725]}"
19,"{""type"":""Point"",""coordinates"":[-129.1197712711267,68.05953012675245]}"
19,"{""type"":""Point"",""coordinates"":[-105.03749841144365,67.05725905870776]}"
19,"{""type"":""Point"",""coordinates"":[-141.81091259308198,66.52917787945496]}"
